id_artefacto,nombre,tipo,ruta,version,descripcion,estado,notas
ART-001,ADR Instancia por cliente,ADR,docs/production/ADR_001_instancia_por_cliente.md,NO_EVIDENCIADO,Decisión aislamiento instancia por cliente,Aceptado,
ART-002,ADR Autenticación enterprise,ADR,docs/production/ADR_002_autenticacion_enterprise.md,NO_EVIDENCIADO,Defer OAuth2/IdP Fase 3,Propuesto,
ART-003,ADR Usuarios enterprise,ADR,docs/production/ADR_003_usuarios_enterprise.md,NO_EVIDENCIADO,Defer SSO LDAP,Propuesto,
ART-004,ADR tenant_id activation,ADR,docs/production/ADR_004_tenant_id_activation.md,NO_EVIDENCIADO,Activación tenant_id,Aceptado,
ART-005,ADR event_store partitioning,ADR,docs/production/ADR_005_event_store_partitioning.md,NO_EVIDENCIADO,No particionar aún,Propuesto POC,
ART-006,ADR saga transactions,ADR,docs/production/ADR_006_saga_transactions.md,NO_EVIDENCIADO,Sagas diferidas,Propuesto,
ART-007,ADR workflow orchestration,ADR,docs/production/ADR_007_workflow_orchestration.md,NO_EVIDENCIADO,Orquestación mínima in-process,Propuesto,
ART-008,ADR cloud log shipping,ADR,docs/production/ADR_008_cloud_log_shipping.md,NO_EVIDENCIADO,Stdout JSON sidecar,Aceptado,
ART-009,ADR OpenTelemetry tracing,ADR,docs/production/ADR_009_opentelemetry_distributed_tracing.md,NO_EVIDENCIADO,Tracing incremental,Aceptado,
ART-010,Plan de implementación,plan,docs/production/Plan_de_implementacion.md,1.1,Readiness pruebas producción y config dinámica,vigente,
ART-011,Reporte implementación planes,informe,docs/production/Reporte_Implementacion.md,NO_EVIDENCIADO,Registro implementación Plan_*.md,vigente,
ART-012,Auditoría producción,informe,docs/production/Auditoria_Produccion.md,v1.0,Snapshot auditoría 2026-05-21,vigente,
ART-013,Plan Middleware,plan,docs/production/Plan_Middleware.md,NO_EVIDENCIADO,Plan técnico middleware producción,vigente,
ART-014,Plan Seguridad,plan,docs/production/Plan_Seguridad.md,NO_EVIDENCIADO,Requisitos seguridad API,vigente,
ART-015,Plan APIs,plan,docs/production/Plan_APIs.md,NO_EVIDENCIADO,OpenAPI versionado idempotency,vigente,
