id_funcionalidad,nombre,etapa_dlc,estado,descripcion,evidencia_ruta,notas
DLC-001,Publicación eventos middleware,Intent,completado,Capability central rutear y observar eventos,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §1,
DLC-001,Publicación eventos middleware,Requerimiento,completado,C1 recibir eventos productores,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §3 C1,
DLC-001,Publicación eventos middleware,Diseño,completado,Flujo publisher→validación→tracking→bus,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Control_Middleware.md §6,
DLC-001,Publicación eventos middleware,Desarrollo,completado,EventPublisherService y API publish,app/Middleware/Application/Services/EventPublisherService.php,
DLC-001,Publicación eventos middleware,QA,completado,Tests MiddlewarePipelineEndToEndTest MiddlewareControlApiTest,tests/Feature/Middleware/MiddlewarePipelineEndToEndTest.php,
DLC-001,Publicación eventos middleware,Producción,parcial,Operativo laboratorio según Plan_de_implementacion,docs/production/Plan_de_implementacion.md §1,NO-GO producto autogestión cliente
DLC-002,Dashboard observabilidad,Intent,completado,Complemento observabilidad bundled con middleware,docs/Plan_Desarrollo_Modulos_v0.1/README.md §1,
DLC-002,Dashboard observabilidad,Requerimiento,completado,O1-O5 objetivos dashboard,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md §3,
DLC-002,Dashboard observabilidad,Diseño,completado,Flujo listener→projector→API/SSE,docs/Plan_Desarrollo_Modulos_v0.1/Plan_Modulo_Dashboard_General.md §6,
DLC-002,Dashboard observabilidad,Desarrollo,completado,Bounded context app/Dashboard,app/Dashboard/Interfaces/Providers/DashboardServiceProvider.php,
DLC-002,Dashboard observabilidad,QA,completado,DashboardEndpointsTest ClientDashboardNodesWebTest,tests/Feature/Dashboard/DashboardEndpointsTest.php,
DLC-002,Dashboard observabilidad,Producción,parcial,Cumple UI con config manual alineada,docs/production/Plan_de_implementacion.md §5,
DLC-003,Instancia por cliente ADR-001,Intent,completado,Aislamiento físico por despliegue,docs/production/ADR_001_instancia_por_cliente.md,
DLC-003,Instancia por cliente ADR-001,Requerimiento,completado,tenant row metadata por instancia,docs/production/Plan_Tenants.md,
DLC-003,Instancia por cliente ADR-001,Diseño,completado,PlatformServiceProvider InstanceTenantContext,docs/production/Reporte_Implementacion.md Plan_Tenants,
DLC-003,Instancia por cliente ADR-001,Desarrollo,completado,config/platform.php EnsureInstanceTenantCommand,app/Shared/Platform/DatabaseInstanceTenantContext.php,
DLC-003,Instancia por cliente ADR-001,QA,completado,InstanceTenantContextTest InstanceTenantSeedingIntegrationTest,tests/Unit/Platform/InstanceTenantContextTest.php,
DLC-003,Instancia por cliente ADR-001,Producción,parcial,Fase 3 multi-tenant diferida,docs/production/ADR_001_instancia_por_cliente.md §Fase 3,
DLC-004,Control plane gestión empresas,Intent,completado,Portal SaaS /control para tenants,config/saas_catalog.php,
DLC-004,Control plane gestión empresas,Requerimiento,completado,CRUD companies planes módulos operadores,routes/control.php,
DLC-004,Control plane gestión empresas,Diseño,completado,Servicios TenantAdmin TenantPresentation,docs/production/Guia_Despliegue_Instancia_Cliente.md,
DLC-004,Control plane gestión empresas,Desarrollo,completado,CompanyController y servicios Control,app/Control/Application/Services/TenantAdminService.php,
